DAYM,HK0000055670,LU0056508442,LU0063729296,LU0067412154,LU0079474960,LU0095024591,LU0125948108,LU0132282301,LU0133711647,LU0224105477,LU0345768823,TW000T1602Y9,TW000T3220Y8,US4642864007
2017-01-01,NA,NA,0.18194725554455912,0.16009233562997835,NA,0.19683446601699695,NA,0.11380713222059653,0.19549840768957635,NA,NA,NA,0.15182040289829282,NA
2017-02-01,NA,NA,0.17022819056852628,NA,NA,0.1594818717046885,NA,0.1596594008292263,0.20549620711711047,0.18938941345520252,NA,NA,NA,0.11574491632524599
2017-03-01,NA,NA,0.1257270526166708,0.18579189743937466,NA,0.2027523140558243,NA,0.14743568266531873,0.2020807779357717,0.13621227528703997,NA,NA,NA,NA
2017-04-01,NA,NA,0.17345914561876205,NA,NA,0.18033286704149226,NA,0.16303819500048886,0.18055121758454448,0.15102979492313173,NA,NA,0.15158877983158064,NA
2017-05-01,NA,NA,0.13734841241106888,0.14963638886768216,NA,0.160447731946826,NA,0.17107460113457434,0.19691663664517645,0.18457622899467213,NA,NA,NA,NA
2017-06-01,NA,NA,0.16165622288561396,NA,NA,0.1750825872878095,NA,0.1410573976738759,0.18221523850719773,0.16678625869925676,NA,NA,0.17320229494624606,NA
2017-07-01,NA,NA,0.1421592098554398,NA,NA,NA,NA,0.1436702067692598,0.19919383190878712,0.17989718239977553,NA,NA,0.1359265852538074,0.19915298381293037
2017-08-01,NA,NA,0.13016929015684153,0.1861117620181258,NA,0.13926051279499307,NA,NA,0.1917384457081985,0.19076747903660576,NA,NA,NA,0.16195251028523527
2017-09-01,NA,NA,0.09452611169360078,NA,NA,0.11225459282103538,NA,NA,0.20675433752018638,0.20568252261096692,NA,0.17132679771727252,NA,0.20945563763693814
2017-10-01,NA,NA,0.1183426202880019,NA,NA,NA,NA,NA,0.19874941898381854,0.2140803187449227,0.08405216480686874,0.16514968057848556,NA,0.21962579659790252
2017-11-01,NA,NA,0.11664617215256576,NA,NA,0.09535902587658465,NA,NA,0.20020769980329262,0.20328421087146037,NA,0.17334715439251555,NA,0.2111557369035809
2017-12-01,NA,NA,0.10353073732437991,NA,NA,0.09807162323745792,NA,NA,0.2037664884802447,0.20636381122861985,NA,0.17556708467923413,NA,0.21270025505006362
2018-01-01,NA,NA,NA,0.16322384157243408,0.16504396619204953,0.25000000000000033,NA,NA,NA,0.14064739516809105,NA,NA,0.11162496803862317,0.169459829028802
2018-02-01,NA,NA,NA,0.1768735507855539,NA,0.11533339560190396,NA,NA,0.18630335515909757,0.18679760987298602,NA,0.14811751739265921,NA,0.1865745711877992
2018-03-01,NA,NA,NA,0.1700371192011349,0.16676459344046737,0.16994578515757194,NA,0.16626734376251376,0.16454769361738325,0.1624374648209288,NA,NA,NA,NA
2018-04-01,NA,NA,0.1435852398855556,NA,NA,NA,0.13698815328899372,0.14254438250877088,0.23324910754478884,NA,NA,NA,0.17748362504489157,0.16614949172699933
2018-05-01,NA,NA,0.15269079768033772,NA,NA,NA,0.1657148911370143,NA,0.1980628919924095,0.16298322921160602,NA,NA,0.16765274837458147,0.152895441604051
2018-06-01,NA,NA,0.1491553479945235,NA,NA,NA,0.15997756963545673,NA,0.20138559255649957,0.1633898678135784,NA,NA,0.16659729688115876,0.1594943251187831
2018-07-01,NA,NA,0.14729808220234183,NA,NA,NA,0.14770476628491044,0.170072258081857,0.2141288311278739,0.14984270892672796,NA,NA,0.17095335337628875,NA
2018-08-01,0.16645751400164296,NA,0.14734165148078518,NA,0.14332944314769838,NA,NA,0.17099046597839326,0.18227129136087286,NA,NA,NA,0.18960963403060746,NA
2018-09-01,NA,NA,0.15407320345326161,NA,NA,NA,0.16170416174367058,0.15531228990050555,0.20618206050353244,NA,NA,NA,0.1630824224789749,0.15964586192005492
2018-10-01,NA,NA,0.16076987619293284,NA,NA,NA,0.1669996790165377,NA,0.19881411163339507,0.1494875332123884,NA,NA,0.1646590483047917,0.15926975163995427
2018-11-01,NA,NA,0.15617016907439077,NA,NA,NA,0.16624190678268766,NA,0.19970511845047406,0.1545572711049345,NA,NA,0.16557073091787253,0.1577548036696405
2018-12-01,NA,NA,0.16094730634578577,NA,NA,NA,0.1612646683475992,NA,0.1927569592899617,0.15343319672690495,NA,NA,0.16542249044249,0.16617537884725847
2019-01-01,NA,0.11840888496414871,0.1007289637917146,0.19495846375817,0.20174691000022404,0.19723858190640792,NA,NA,NA,NA,NA,NA,0.18691819557933476,NA
2019-02-01,NA,NA,0.1762436701641168,NA,NA,NA,0.1484712244457472,NA,0.1907398552992373,0.14810747054016232,NA,NA,0.16557363806537387,0.17086414148536247
2019-03-01,NA,NA,0.17335682163847202,NA,NA,NA,NA,0.14879405839732396,0.18394252126468638,0.1659502204993056,NA,NA,0.14956148451774068,0.17839489368247127
2019-04-01,NA,NA,0.16409187709346001,NA,0.16024379266573394,0.15690936147968748,NA,NA,0.1818924377987323,NA,NA,NA,0.18098973982875238,0.15587279113363398
2019-05-01,NA,NA,0.16826401834145474,NA,NA,NA,NA,0.13081708575080506,0.1880633924870739,0.17766043988655167,NA,NA,0.13963986715820717,0.1955551963759075
2019-06-01,NA,NA,0.18508130399109832,NA,NA,0.168837662699974,NA,0.12866039723755998,0.18739711439830195,0.14218455576155772,NA,NA,NA,0.1878389659115081
