DAYM,LU0056508442,LU0063729296,LU0067412154,LU0079474960,LU0095024591,LU0125948108,LU0132282301,LU0133711647,LU0224105477,LU0345768823,TW000T1602Y9,TW000T3220Y8,US4642864007,US4642874329
2017-01-01,NA,NA,0.16855191395998032,NA,NA,NA,0.16693985991818353,0.17517418609628396,NA,0.17055116312005553,NA,NA,0.1493462164313007,0.16943666047419603
2017-02-01,NA,NA,0.17072234491730515,0.16456594526659535,NA,NA,0.15523956518615276,0.16989871603689416,NA,0.1678891875759481,NA,NA,NA,0.17168424101710453
2017-03-01,NA,NA,0.16505650457226687,NA,NA,NA,0.16673615877457854,0.17424148486612845,NA,0.16856050770396955,NA,NA,0.16427524829674908,0.16113009578630752
2017-04-01,NA,NA,0.156266965506821,NA,NA,NA,0.17073713757334552,0.17726260988953352,NA,0.17426014332404877,NA,NA,0.14565708699784793,0.17581605670840336
2017-05-01,NA,NA,0.16521563903561945,NA,0.15149990602799857,NA,0.16850350245949855,0.17553677720453473,NA,0.16639348389250724,NA,NA,NA,0.17285069137984152
2017-06-01,NA,NA,0.13710565848269318,NA,NA,NA,0.1605765716745366,0.1860686448236345,NA,0.17302353995526704,NA,NA,0.1669253818023401,0.1763002032615286
2017-07-01,NA,NA,0.1623343206106721,NA,NA,NA,0.16847360013444093,0.17824054039254625,NA,0.17103796781866915,NA,NA,0.1441188916956686,0.17579467934800286
2017-08-01,NA,NA,0.15435006376981766,NA,NA,NA,0.1737837914727068,0.17205924642957732,NA,0.16315597185883957,NA,NA,0.17183850584112606,0.16481242062793244
2017-09-01,NA,NA,NA,NA,0.15410861080541752,NA,0.1719211084950883,0.17241984745069755,NA,0.16756968736950492,NA,NA,0.1631394023674632,0.1708413435118285
2017-10-01,NA,NA,NA,NA,0.15782148715620256,NA,0.16974055337841434,0.17043862908615662,NA,0.1680391696975754,NA,NA,0.1697876372472166,0.1641725234344345
2017-11-01,NA,NA,NA,NA,0.1572192663847752,NA,0.1700516479035022,0.1708055457011992,NA,0.16757514303902252,NA,NA,0.16719422282795807,0.1671541741435428
2017-12-01,NA,NA,NA,NA,0.16160991897584234,NA,0.16943727517630694,0.17022296961753533,NA,0.16741423641249947,NA,NA,0.1634413783091281,0.16787422150868778
2018-01-01,NA,NA,NA,NA,0.17294096968478698,NA,0.1727802255535722,0.16121939141144676,NA,0.1580843427868867,NA,NA,0.1630822766381843,0.17189279392512313
2018-02-01,NA,NA,NA,NA,0.16437171348621565,NA,0.17303091933798947,0.1713045546434163,NA,0.15698079639792192,NA,NA,0.1663995991346762,0.16791241699978046
2018-03-01,NA,0.13928135942036454,NA,NA,0.17848027091299223,0.18106253167044312,NA,0.17741072141491465,NA,NA,NA,0.1427664384778209,0.18099867810346448,NA
2018-04-01,NA,0.1364725805629231,NA,NA,0.16410686071885208,NA,0.1861102114763072,0.1822608759987381,NA,0.14121659587618154,NA,NA,NA,0.18983287536699803
2018-05-01,NA,NA,0.143248463380883,NA,NA,NA,0.18771062019605753,0.18854389516460235,0.1546024658915927,0.1403911007630522,NA,NA,NA,0.18550345460381207
2018-06-01,0.14706923043019965,NA,NA,NA,0.15955882526487647,NA,0.17540380767421304,0.17665394202853668,NA,0.16518042041417783,NA,NA,NA,0.17613377418799625
2018-07-01,NA,0.14603393461783362,NA,NA,0.17547442884263598,NA,0.1656700153505262,0.1802012744534179,NA,NA,0.1401672188421019,NA,NA,0.19245312789348443
2018-08-01,NA,0.15753440237752153,NA,NA,0.17383450836930048,NA,0.1806356383897989,0.1535364300302443,NA,0.14222564427331796,NA,NA,NA,0.1922333765598167
2018-09-01,NA,0.13734458467173932,NA,NA,0.1732077841519221,NA,0.1848758825751668,0.17777644033510107,NA,0.1401387391543427,NA,NA,NA,0.18665656911172798
2018-10-01,0.14267369581993683,NA,NA,NA,0.15548442929049855,NA,0.18639901660932923,0.1868572181597645,NA,0.14279048159246524,NA,NA,NA,0.18579515852800563
2018-11-01,0.14326019198452325,NA,NA,NA,0.16252037034990408,NA,0.1774513233466315,0.17813530838050173,NA,0.16070197260743857,NA,NA,NA,0.17793083333100088
2018-12-01,NA,NA,NA,NA,0.15567414395448304,NA,0.1772224020074579,0.17785052581157074,NA,0.16085442021719046,NA,NA,0.1510423049159023,0.1773562030933955
2019-01-01,NA,0.16410177195613815,NA,0.16613896698924252,0.15846108122055969,0.17319178396704285,0.16779331451591745,NA,NA,NA,NA,NA,0.17031308135109943,NA
2019-02-01,0.1537166488783902,NA,NA,NA,NA,NA,0.17360803001254013,0.17379476104540492,NA,0.16373072796650973,NA,NA,0.16241716704310372,0.1727326650540515
2019-03-01,NA,NA,NA,NA,0.15588953525131757,NA,0.17112439945750588,0.1715643832070074,NA,0.16637441173232206,NA,NA,0.16406936447321976,0.17097790587862724
2019-04-01,NA,NA,NA,NA,0.17564107362819795,0.14340812833240343,0.18264614109923374,0.15720573310475722,NA,NA,NA,NA,0.15912456141066803,0.18197436242473966
2019-05-01,NA,NA,NA,NA,0.16079574951850586,NA,0.171075571746642,0.17145445956556046,NA,0.15964459004673415,NA,NA,0.16535161305901547,0.17167801606354188
2019-06-01,NA,NA,0.16806417422046857,NA,NA,NA,0.16029900777984535,0.17476992399729258,NA,0.1527551319198743,NA,NA,0.171888975382401,0.17222278670011829
